Địa chỉ,Loại hình chi tiết,Sao khách sạn,Vĩ độ,Kinh độ,Quận/Huyện,Tên địa điểm,Số sao trung bình,Số lượt đánh giá,Loại hình,Giờ mở cửa,Giờ đóng cửa,Tổng giờ hoạt động
"519 Đ. Nguyễn Trãi, Phường 7, Quận 5, Hồ Chí Minh, Việt Nam",Nhà hàng chuyên phục vụ bữa sáng,,10.7543024,106.669006,Quận 5,Com Suon Co Hang,,0,Nhà hàng/ địa điểm ăn uống,5,8,3
"3/33 ấp 1, Đông Thạnh, Hóc Môn, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.900119,106.626144,Hóc Môn,Bún riêu cô lệ,,0,Nhà hàng/ địa điểm ăn uống,5,8.5,3.5
"29 Đường số 9, Phường Linh Trung, Thủ Đức, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.8574982,106.7683909,Thủ Đức,Quán Thanh Hà,4.9,9,Nhà hàng/ địa điểm ăn uống,5,9,4
"34/5 Đường Số 2, Cát Lái, Quận 2, Hồ Chí Minh, Việt Nam",Quán ăn nhỏ,,10.7654086,106.7831786,Quận 2,Quán Ăn Sáng : Hủ Tiếu - Bún Cá,5,2,Nhà hàng/ địa điểm ăn uống,5,9,4
"13 Trần Bình Trọng, Phường 5, Bình Thạnh, Hồ Chí Minh 700000, Việt Nam",Nhà hàng chuyên phục vụ bữa sáng,,10.8106511,106.6893163,Bình Thạnh,Cơm tấm Lan,,0,Nhà hàng/ địa điểm ăn uống,5,9,4
"D16/453 ấp 4, Đ. Nguyễn Văn Linh, Phong Phú, Bình Chánh, Hồ Chí Minh, Việt Nam",Quán ăn nhỏ,,10.6996699,106.6282904,Bình Chánh,Cơm Tấm Tuấn Phát,4.4,10,Nhà hàng/ địa điểm ăn uống,5,9,4
"167B Đ. Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh 700000, Việt Nam",Quán ăn nhẹ,,10.8031899,106.6313286,Tân Phú,Xôi Cô Ba Thảo,5,1,Nhà hàng/ địa điểm ăn uống,5,9.5,4.5
"55/5 Đ. Tây Lân 1, Bà Điểm, Hóc Môn, Hồ Chí Minh, Việt Nam",Nhà hàng cơm,,10.8474593,106.5980423,Hóc Môn,Cơm Tấm Huỳnh Chẳn,5,5,Nhà hàng/ địa điểm ăn uống,5,9.5,4.5
"211 Đ. Phạm Văn Đồng, Phường 1, Gò Vấp, Hồ Chí Minh 70000, Việt Nam",Nhà hàng châu Á,,10.8187908,106.6873155,Gò Vấp,Phúc Hy Cơm Tấm Quán,5,1,Nhà hàng/ địa điểm ăn uống,5,9.5,4.5
"39603 QL13, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.8556395,106.7225051,Thủ Đức,quán cháo lòng hủ tiếu bình dân,4.5,8,Nhà hàng/ địa điểm ăn uống,5,10,5
"576 Lê Văn Việt, ấp mỹ thành, Thủ Đức, Hồ Chí Minh, Việt Nam",Nhà hàng bán đồ ăn mang về,,10.8493231,106.8095418,Thủ Đức,Hủ tiếu 10 sang,5,4,Nhà hàng/ địa điểm ăn uống,5,10,5
"769 Huỳnh Tấn Phát, Phú Thuận, Quận 7, Hồ Chí Minh, Việt Nam",Nhà hàng cho người ăn chay,,10.733983,106.7310566,Quận 7,Bánh Mì Chay Thanh Tâm 3,5,3,Nhà hàng/ địa điểm ăn uống,5,10,5
